sourceIndex,status,score,sourceName,seed,item,en,name,country,lat,lng,category,wikiEnTitle,wikiRuTitle,image,typeLabel,note
,unresolved,,,Chin State,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Kayah State,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Karuzi,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Kayanza,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Bururi,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Cibitoke,,,,,,,desert,,,,,no country/category candidate above threshold
,error,,,Virgin Gorda,,,,,,,water,,,,,This operation was aborted
,error,,,Ballymena,,,,,,,water,,,,,This operation was aborted
,error,,,Banbridge,,,,,,,water,,,,,This operation was aborted
,error,,,Manchester,,,,,,,water,,,,,This operation was aborted
,unresolved,,,Bamingui-Bangoran,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Haute-Sangha,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Kemo-Gribingui,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Bangui,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Basse-Kotto,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Haut-Mbomou,,,,,,,desert,,,,,no country/category candidate above threshold
,error,,,Fujian,,,,,,,water,,,,,This operation was aborted
,error,,,Guangdong,,,,,,,water,,,,,This operation was aborted
,error,,,Clipperton Island,,,,,,,mountain,,,,,This operation was aborted
,error,,,Europa Island,,,,,,,mountain,,,,,This operation was aborted
,error,,,Alsace,,,,,,,mountain,,,,,This operation was aborted
,error,,,Champagne-Ardenne,,,,,,,mountain,,,,,This operation was aborted
,error,,,French Guiana,,,,,,,mountain,,,,,This operation was aborted
,error,,,Adelie Land,,,,,,,mountain,,,,,This operation was aborted
,error,,,Ile du Lys,,,,,,,mountain,,,,,This operation was aborted
,error,,,Basse-Terre,,,,,,,mountain,,,,,This operation was aborted
,error,,,Juan de Nova Island,,,,,,,mountain,,,,,This operation was aborted
