status,index,name_ru,name_en,description_ru,facts_ru,description_en,facts_en,notes
imported,1165,Ха-Чу,Ha Chhu,yes,1,yes,1,
imported,1166,Лянканг-Кангри,Liankang Kangri,yes,1,yes,1,
imported,867,Долина Пхобджикха,Phobjikha Valley,yes,1,yes,1,
imported,2387,Ла-Пас,La Paz,yes,2,yes,2,
imported,1171,Лебршник (гора),Lebršnik,yes,1,yes,1,
imported,1178,Бразильское плоскогорье,Brazilian Highlands,yes,1,yes,1,
imported,1176,Гуартела (каньон),Guartelá Canyon,yes,1,yes,1,
imported,2406,Итайпу,Itaipu Dam,yes,2,yes,2,
imported,1187,Дунай,Danube,yes,1,yes,1,
imported,1184,Калиакра,Kaliakra,yes,1,yes,1,
imported,1475,Мадарский всадник,Madara Rider,yes,1,yes,1,
imported,1181,Родопы,Rhodope Mountains,yes,1,yes,1,
imported,1186,Триградское ущелье,Trigrad Gorge,yes,1,yes,1,
imported,1485,Ангкор,Angkor,yes,1,yes,1,
imported,2364,Ангкор-Ват,Angkor Wat,yes,1,yes,1,
imported,877,Кардамоновы горы,Cardamom Mountains,yes,1,yes,1,
imported,1199,Краом,Phnom Krom,yes,1,yes,1,
imported,1198,Кулен (плато),Phnom Kulen,yes,1,yes,1,
imported,2388,Пномпень,Phnom Penh,yes,1,yes,1,
imported,839,Санга,Sangha Trinational,yes,1,yes,1,
imported,1002,Плато Эннеди,Ennedi Plateau,yes,1,yes,1,
imported,1120,Антилланка (комплекс вулканов),Antillanca Group,yes,1,yes,1,
imported,1119,Теревака,Terevaka,yes,1,yes,1,
imported,708,"Данься, Китай",China Danxia,yes,1,yes,1,
imported,1218,Дабашань,Daba Mountains,yes,1,yes,1,
imported,713,Фаньцзиншань,Fanjingshan,yes,1,yes,1,
imported,1532,Тулоу провинции Фуцзянь,Fujian Tulou,yes,1,yes,1,
imported,1526,Пещерные храмы Лунмэнь,Longmen Grottoes,yes,1,yes,1,
imported,1509,Пещеры Могао,Mogao Caves,yes,1,yes,1,
imported,1221,Тайваньский пролив,Taiwan Strait,yes,1,yes,1,
imported,1222,Такла-Макан,Taklamakan Desert,yes,1,yes,1,
imported,1540,Архитектурный комплекс китайских правителей «тусы»,Tusi Sites,yes,1,yes,1,
imported,1216,Иньшань,Yin Mountains,yes,1,yes,1,
